move;slot;color;rank;n;after_abduction
0;5;red;4;2;false
0;5;red;5;1;false
0;5;red;1;3;false
0;5;red;2;2;false
0;5;red;3;2;false
0;5;blue;4;2;false
0;5;blue;5;1;false
0;5;blue;1;3;false
0;5;blue;2;2;false
0;5;blue;3;1;false
0;5;green;4;2;false
0;5;green;5;1;false
0;5;green;1;3;false
0;5;green;2;2;false
0;5;green;3;2;false
0;5;yellow;4;2;false
0;5;yellow;5;1;false
0;5;yellow;1;2;false
0;5;yellow;2;0;false
0;5;yellow;3;2;false
0;5;white;4;2;false
0;5;white;5;1;false
0;5;white;1;3;false
0;5;white;2;2;false
0;5;white;3;1;false
0;4;red;4;2;false
0;4;red;5;1;false
0;4;red;1;3;false
0;4;red;2;2;false
0;4;red;3;2;false
0;4;blue;4;2;false
0;4;blue;5;1;false
0;4;blue;1;3;false
0;4;blue;2;2;false
0;4;blue;3;1;false
0;4;green;4;2;false
0;4;green;5;1;false
0;4;green;1;3;false
0;4;green;2;2;false
0;4;green;3;2;false
0;4;yellow;4;2;false
0;4;yellow;5;1;false
0;4;yellow;1;2;false
0;4;yellow;2;0;false
0;4;yellow;3;2;false
0;4;white;4;2;false
0;4;white;5;1;false
0;4;white;1;3;false
0;4;white;2;2;false
0;4;white;3;1;false
0;3;red;4;2;false
0;3;red;5;1;false
0;3;red;1;3;false
0;3;red;2;2;false
0;3;red;3;2;false
0;3;blue;4;2;false
0;3;blue;5;1;false
0;3;blue;1;3;false
0;3;blue;2;2;false
0;3;blue;3;1;false
0;3;green;4;2;false
0;3;green;5;1;false
0;3;green;1;3;false
0;3;green;2;2;false
0;3;green;3;2;false
0;3;yellow;4;2;false
0;3;yellow;5;1;false
0;3;yellow;1;2;false
0;3;yellow;2;0;false
0;3;yellow;3;2;false
0;3;white;4;2;false
0;3;white;5;1;false
0;3;white;1;3;false
0;3;white;2;2;false
0;3;white;3;1;false
0;2;red;4;2;false
0;2;red;5;1;false
0;2;red;1;3;false
0;2;red;2;2;false
0;2;red;3;2;false
0;2;blue;4;2;false
0;2;blue;5;1;false
0;2;blue;1;3;false
0;2;blue;2;2;false
0;2;blue;3;1;false
0;2;green;4;2;false
0;2;green;5;1;false
0;2;green;1;3;false
0;2;green;2;2;false
0;2;green;3;2;false
0;2;yellow;4;2;false
0;2;yellow;5;1;false
0;2;yellow;1;2;false
0;2;yellow;2;0;false
0;2;yellow;3;2;false
0;2;white;4;2;false
0;2;white;5;1;false
0;2;white;1;3;false
0;2;white;2;2;false
0;2;white;3;1;false
0;1;red;4;2;false
0;1;red;5;1;false
0;1;red;1;3;false
0;1;red;2;2;false
0;1;red;3;2;false
0;1;blue;4;2;false
0;1;blue;5;1;false
0;1;blue;1;3;false
0;1;blue;2;2;false
0;1;blue;3;1;false
