;seed;moves;score;hints;efficiency;hints_w_implicit;avg_explicit_info;avg_implicit_info
0;78.0;71.0;13.0;31.0;0.41935483870967744;0.2903225806451613;1.0222709679575166;0.08916071916740102
1;23.0;70.0;15.0;30.0;0.5;0.3333333333333333;0.933805210958169;0.11185807762925275
2;103.0;74.0;14.0;34.0;0.4117647058823529;0.29411764705882354;0.8752020444905315;0.1004010293293693
3;100.0;68.0;13.0;28.0;0.4642857142857143;0.4642857142857143;0.9045305887775951;0.2259862259507366
4;52.0;73.0;14.0;33.0;0.42424242424242425;0.42424242424242425;0.7663293711361735;0.15631401491197724
5;84.0;70.0;16.0;30.0;0.5333333333333333;0.26666666666666666;0.9438957202269201;0.11924972666124084
6;305.0;71.0;16.0;31.0;0.5161290322580645;0.41935483870967744;0.9440042919934438;0.1942319128732238
7;187.0;67.0;15.0;27.0;0.5555555555555556;0.25925925925925924;0.9903769855456602;0.10582712949745439
8;134.0;72.0;14.0;32.0;0.4375;0.3125;0.885842179571434;0.13125452941344337
9;140.0;72.0;15.0;32.0;0.46875;0.28125;0.8939018140667494;0.1329772657844783
10;478.0;71.0;18.0;31.0;0.5806451612903226;0.41935483870967744;0.8872109119145012;0.1942287103359105
11;466.0;70.0;18.0;30.0;0.6;0.36666666666666664;1.072227081161197;0.14354750091835625
12;188.0;68.0;14.0;28.0;0.5;0.35714285714285715;0.8560885083161395;0.1721617803044114
13;468.0;70.0;15.0;30.0;0.5;0.26666666666666666;0.9259462472217427;0.10017983439622354
14;29.0;71.0;17.0;31.0;0.5483870967741935;0.3225806451612903;0.8510431225158371;0.1595312446816716
15;236.0;72.0;16.0;32.0;0.5;0.3125;0.9926449367336168;0.14530730066732953
16;69.0;71.0;15.0;31.0;0.4838709677419355;0.3548387096774194;0.9110725606784977;0.15719763753595165
17;131.0;70.0;16.0;30.0;0.5333333333333333;0.3;1.0011391549014972;0.10263937486825417
18;411.0;73.0;15.0;33.0;0.45454545454545453;0.36363636363636365;1.002651409973458;0.16831418184818447
19;79.0;70.0;16.0;30.0;0.5333333333333333;0.3333333333333333;0.9392675873464162;0.1149052677114073
20;499.0;72.0;14.0;32.0;0.4375;0.34375;0.8828297719939828;0.15388372768943379
21;114.0;73.0;14.0;33.0;0.42424242424242425;0.2727272727272727;0.9314070639236277;0.10931681888529299
22;161.0;74.0;13.0;34.0;0.38235294117647056;0.38235294117647056;0.8882038205707941;0.1124307431366512
23;224.0;66.0;15.0;26.0;0.5769230769230769;0.3076923076923077;0.9165982658222528;0.13874827012364108
24;8.0;72.0;12.0;32.0;0.375;0.28125;0.9080774350082046;0.09782293026546894
25;311.0;74.0;15.0;34.0;0.4411764705882353;0.23529411764705882;1.0553211461053051;0.10092246365173492
26;489.0;73.0;15.0;33.0;0.45454545454545453;0.3939393939393939;0.8066357923652863;0.16090863146414872
27;145.0;73.0;14.0;33.0;0.42424242424242425;0.45454545454545453;0.9568299728786313;0.1646508843115639
28;309.0;73.0;14.0;33.0;0.42424242424242425;0.3333333333333333;0.8871370110966419;0.10355135781711441
29;437.0;72.0;18.0;32.0;0.5625;0.34375;0.9142554526430028;0.12922289535552423
30;368.0;74.0;15.0;34.0;0.4411764705882353;0.38235294117647056;0.8599500616121669;0.15873634515820867
31;226.0;68.0;13.0;28.0;0.4642857142857143;0.32142857142857145;0.9269415498639475;0.12996584134218328
32;77.0;76.0;12.0;36.0;0.3333333333333333;0.2777777777777778;0.8817683054694677;0.09072671798703977
33;425.0;74.0;13.0;34.0;0.38235294117647056;0.4411764705882353;0.932730816196281;0.17036768014480222
34;119.0;71.0;18.0;31.0;0.5806451612903226;0.3548387096774194;0.9841979993812859;0.11507070461927141
35;157.0;70.0;15.0;30.0;0.5;0.23333333333333334;1.0181334564809796;0.09089995759787542
36;379.0;71.0;17.0;31.0;0.5483870967741935;0.25806451612903225;0.9712613776203961;0.11864392334230651
37;207.0;71.0;17.0;31.0;0.5483870967741935;0.3548387096774194;1.0370969082666388;0.14946933054960362
38;61.0;71.0;12.0;31.0;0.3870967741935484;0.3870967741935484;0.9380679016559634;0.11454540222195422
39;27.0;74.0;14.0;34.0;0.4117647058823529;0.5;0.9102164103677397;0.20929896506767043
40;137.0;69.0;15.0;29.0;0.5172413793103449;0.4482758620689655;0.9140413803059054;0.1628834426039815
41;135.0;72.0;13.0;32.0;0.40625;0.375;0.8621482601420283;0.16032858396376334
42;248.0;66.0;17.0;26.0;0.6538461538461539;0.34615384615384615;0.944701603692285;0.15330119399253034
43;28.0;73.0;17.0;33.0;0.5151515151515151;0.30303030303030304;0.9536770952208499;0.13476236458612784
44;351.0;70.0;17.0;30.0;0.5666666666666667;0.16666666666666666;1.0634164106290966;0.06091230910179417
45;401.0;72.0;17.0;32.0;0.53125;0.375;0.8881690022622384;0.1525142592274502
46;237.0;71.0;17.0;31.0;0.5483870967741935;0.3548387096774194;0.9847550951582212;0.1415860027214365
47;181.0;71.0;16.0;31.0;0.5161290322580645;0.41935483870967744;0.9005251284612799;0.18412924150573073
48;11.0;70.0;17.0;30.0;0.5666666666666667;0.3;0.9510583527639926;0.1467133513593848
49;159.0;71.0;15.0;31.0;0.4838709677419355;0.3870967741935484;0.9986345923255118;0.1711125976701125
50;349.0;73.0;14.0;33.0;0.42424242424242425;0.30303030303030304;0.8808217653445832;0.13513858806377732
51;382.0;73.0;15.0;33.0;0.45454545454545453;0.3333333333333333;0.9243827016125497;0.12253708218565942
52;108.0;74.0;13.0;34.0;0.38235294117647056;0.29411764705882354;0.907701468132603;0.1075916893684838
53;44.0;71.0;16.0;31.0;0.5161290322580645;0.41935483870967744;0.9585232702395197;0.1593106180839198
54;463.0;73.0;16.0;33.0;0.48484848484848486;0.3333333333333333;0.980866136348337;0.14665465846881323
55;57.0;72.0;14.0;32.0;0.4375;0.46875;0.8630766238526579;0.1515779084969051
56;225.0;73.0;14.0;33.0;0.42424242424242425;0.2727272727272727;0.9843024458953433;0.13331715275770736
57;190.0;75.0;13.0;35.0;0.37142857142857144;0.34285714285714286;0.7473847827576664;0.12053367722362428
58;444.0;75.0;13.0;35.0;0.37142857142857144;0.2857142857142857;0.8730278280944264;0.10629026581159877
59;164.0;72.0;16.0;32.0;0.5;0.21875;0.932549134524696;0.09281364926945489
60;301.0;72.0;18.0;32.0;0.5625;0.375;0.950362211929046;0.11619452511339867
61;448.0;70.0;16.0;30.0;0.5333333333333333;0.4;0.9389378781901104;0.17417697605752877
62;132.0;74.0;13.0;34.0;0.38235294117647056;0.47058823529411764;0.8412540709713038;0.19119534061053345
63;492.0;72.0;15.0;32.0;0.46875;0.25;0.9369618905816023;0.08378878866798711
64;149.0;68.0;17.0;28.0;0.6071428571428571;0.39285714285714285;0.8311807577236981;0.1778691690450846
65;477.0;69.0;14.0;29.0;0.4827586206896552;0.3793103448275862;0.9834312117148201;0.14904204464599718
66;488.0;70.0;16.0;30.0;0.5333333333333333;0.4666666666666667;0.8489651965424115;0.20011535107031692
67;461.0;72.0;14.0;32.0;0.4375;0.21875;0.868157368177736;0.07751818083841153
68;479.0;74.0;13.0;34.0;0.38235294117647056;0.35294117647058826;0.8444929223860544;0.11391549304748531
69;455.0;70.0;18.0;30.0;0.6;0.36666666666666664;0.8867490775836525;0.17094664229059353
70;467.0;69.0;14.0;29.0;0.4827586206896552;0.2413793103448276;1.0209212404468124;0.07562498615015384
71;398.0;73.0;14.0;33.0;0.42424242424242425;0.42424242424242425;0.864557996146548;0.17259367005803697
72;434.0;73.0;15.0;33.0;0.45454545454545453;0.3333333333333333;0.9164811502599586;0.12803967520381404
73;240.0;70.0;17.0;30.0;0.5666666666666667;0.4;1.075226790939046;0.1660076897130344
74;63.0;73.0;15.0;33.0;0.45454545454545453;0.36363636363636365;0.9668048235308998;0.15093414667866573
75;53.0;73.0;16.0;33.0;0.48484848484848486;0.3939393939393939;0.8226075171322086;0.14281001494197992
76;182.0;72.0;17.0;32.0;0.53125;0.40625;0.9452188488102861;0.16241501744142559
77;147.0;74.0;15.0;34.0;0.4411764705882353;0.20588235294117646;1.0483017107221249;0.09165190624414103
78;333.0;71.0;16.0;31.0;0.5161290322580645;0.3548387096774194;0.8584998075043996;0.10722079373299805
79;50.0;70.0;17.0;30.0;0.5666666666666667;0.23333333333333334;0.9770178912494235;0.0805189832325252
80;42.0;73.0;14.0;33.0;0.42424242424242425;0.45454545454545453;0.9333586865712845;0.18570906874902446
81;24.0;72.0;16.0;32.0;0.5;0.375;0.9658764948653206;0.1657653289929215
82;40.0;71.0;12.0;31.0;0.3870967741935484;0.16129032258064516;0.9026903242973637;0.06138999958038527
83;385.0;72.0;15.0;32.0;0.46875;0.3125;0.8795941754402856;0.1320796360575441
84;453.0;72.0;15.0;32.0;0.46875;0.28125;1.0168669931305174;0.11207645757781724
85;130.0;72.0;16.0;32.0;0.5;0.375;0.9320758865732827;0.13182718303736116
86;62.0;72.0;17.0;32.0;0.53125;0.40625;0.9580185797750275;0.1338531633969859
87;93.0;41.0;5.0;17.0;0.29411764705882354;0.17647058823529413;1.1099493792642157;0.028995030700170253
